Ld,Lb,growth_rate,length,condition
62.06610038723325,27.412115033147302,14.419098728667882,[30 31 30 31 32 33 37 38 39 42 44 46 49 52 53 57 60],glucoseaa
57.50091024122048,32.81438740651681,22.242644439073292,[34 35 35 36 37 38 39 41 41 43 44 46 47 50 50 53 55 56],glucoseaa
60.60968335646411,29.518092005495767,18.305333918257237,[32 32 32 33 34 35 38 38 40 41 43 42 45 47 50 51 55 58 60],glucoseaa
64.38203836629928,33.8617227967451,12.944943625628206,[34 37 39 40 42 43 45 48 51 55 59 62],glucoseaa
64.8064481286308,28.06541565555325,14.08049474548786,[26 29 32 33 34 36 38 40 43 43 46 50 50 52 55 59 62],glucoseaa
67.60575652745112,41.44800287870144,21.25116951530371,[43 44 44 45 45 48 50 52 54 58 57 58 63 62 66],glucoseaa
62.075404492888836,36.080512662614915,17.884473264103214,[40 38 39 40 42 42 45 46 47 50 53 56 59 61],glucoseaa
69.81548319347701,31.58020786141821,12.232134218432364,[34 32 35 38 40 42 45 46 49 52 54 59 62 68],glucoseaa
67.28701358521555,29.178608328521875,13.273414756133565,[31 31 32 34 36 37 39 42 45 45 50 51 55 58 62 63],glucoseaa
69.48756622544646,32.524367788756884,13.69570541038254,[32 35 37 37 38 42 45 47 48 52 53 58 60 62 66],glucoseaa
75.5787679305158,34.041362047587164,15.642757821186832,[35 36 38 39 41 43 43 46 49 49 53 55 57 60 63 68 69 73],glucoseaa
70.5110039701665,32.97462584213628,12.767989462621777,[35 37 36 37 40 43 45 47 51 54 57 60 65 66],glucoseaa
67.0923118432857,34.52112717852716,14.60359758223812,[34 36 38 39 41 45 47 49 50 53 54 60 61 63],glucoseaa
67.47473840430202,32.30206774767116,14.114711736149037,[34 35 36 38 39 40 42 45 46 50 53 56 59 61 65],glucoseaa
69.92431325356601,42.11578044146034,20.507680511777348,[41 44 46 48 50 50 51 52 55 56 57 61 62 66 70],glucoseaa
67.20933591116044,32.84457803829752,14.52072295294001,[35 35 36 37 39 41 44 46 47 50 53 55 59 62 64],glucoseaa
58.21470928124858,33.44404079819221,15.00685511325735,[34 36 35 38 40 42 44 47 49 51 53 55],glucoseaa
79.76597028925275,38.9583563741955,15.47627386075808,[39 41 44 45 47 48 50 53 55 59 61 62 67 69 74 77],glucoseaa
69.84806345942546,30.117105822854814,12.359544284263924,[33 32 34 35 36 40 42 43 47 50 52 57 58 64 66],glucoseaa
71.48722823222548,30.834990468866827,14.01348623571748,[34 33 33 35 38 38 42 44 45 47 51 52 55 60 61 64 70],glucoseaa
66.43598792316558,30.01193894289771,12.21183958606398,[31 34 34 36 37 39 41 44 47 50 51 54 61 65],glucoseaa
64.46814245347971,34.69872900410354,14.5462097845032,[34 37 39 40 42 45 45 48 51 52 56 59 62],glucoseaa
74.03295111925696,31.853754545013434,11.506495213847769,[34 35 37 39 42 43 46 46 50 52 55 60 63 78],glucoseaa
74.97051653637821,41.81249734462642,14.245198093063014,[42 43 46 49 52 53 56 58 61 65 69 71],glucoseaa
